words,count
non in bóng,8
lạc long quân,6
thoại long quân,4
ngàn hương lúa,4
gió ru ngàn,4
in bóng chàng,4
dịu dàng nàng,4
long quân non,4
xô thời gian,4
âu non in,4
ngàn yêu ngàn,4
hoa lá vương,4
bóng nàng mãi,4
gian gió ru,4
bóng chàng mãi,4
sóng xô thời,4
vấn dịu dàng,4
a a a,4
hương lúa hoa,4
mê tình ca,4
muôn đời ơn,4
yêu ngàn hương,4
vương vấn dịu,4
thú khen chí,4
nàng mãi ngàn,4
huyền thoại long,4
lá vương vấn,4
âu non ngàn,4
khen chí tài,4
chí tài chàng,4
say mê tình,4
muông thú khen,4
ngàn hoa lá,4
hồng bàng thiêng,4
quân âu non,4
ngàn muông thú,4
nàng âu non,4
dàng nàng âu,4
thời gian gió,4
mãi ngàn muông,4
long quân âu,4
tài chàng lạc,4
non ngàn yêu,4
quân non in,4
chàng lạc long,4
in bóng nàng,4
đồng bào a,2
quân muôn đời,2
thiêng yêu huyền,2
lúa hoa kìa,2
