performer,count
various artists,113
,98
tốp ca,64
chưa rõ,45
trọng tấn,41
thu hiền,30
beat,25
thanh thúy,23
lan anh,21
đang cập nhật,21
quang thọ,21
fm,20
nsut quốc hưng,19
quang lý,18
nhiều nghệ sĩ,18
cao minh,18
huỳnh lợi,18
trang nhung,18
mắt ngọc,17
đức tuấn,17
anh thơ,16
lạc việt,16
đàm vĩnh hưng,16
nsưt quỳnh liên,16
top ca,16
long nhật,15
phạm phương thảo,14
đăng dương,14
uyên trang,14
nsnd thanh hoa,14
lương gia huy,13
tạ minh tâm,13
135 band,13
anh bằng,12
đông quân,12
trung đức,11
nhóm nam việt,11
ngọc ký,11
tốp ca nam,10
nsnd lê dung,10
cẩm vân,9
lê dung,9
clb giai điệu xanh,9
tốp ca nam tổng cục chính trị,9
ngọc sáng,9
đức cần,9
việt hoàn,9
thụy vân,9
ái xuân,8
đức long,8
